nct_id,title,status,phase,enrollment,start_date,completion_date,enrollment_rate_monthly,enrollment_rate_tier,enrollment_success_pct,success_tier,status_success_score,composite_success_score,success_percentile
NCT03447535,Better Understand Children and Adolescents' Intrafamilial Oppositional Defiant Disorder,COMPLETED,,75.0,2017-12-01,2017-12-31,75.0,Excellent (>50/month),200.0,Exceeded (≥100%),100,64.3,77.265
NCT05836935,Role of Imaging in Complications of Sinusitis,UNKNOWN,NA,30.0,2023-05-01,2023-12-01,4.267289719626168,Adequate (1-10/month),42.67289719626169,Significantly Below (<50%),50,37.4,18.62
NCT03551535,Monitored Home Exercise in Pregnancy,WITHDRAWN,NA,0.0,2018-11-01,2019-10-08,,Slow (<1/month),0.0,Significantly Below (<50%),5,14.8,1.6650000000000003
NCT02889835,Clinical Performance of Incremental and Bulk Fill Composites in Class II Restorations,COMPLETED,NA,53.0,2016-03-22,2021-07-03,0.8363504406428202,Slow (<1/month),8.363504406428202,Significantly Below (<50%),100,49.2,46.035
NCT04802135,Creation of a Register of Patients With Neonatal-onset Epileptic Encephalopathy,RECRUITING,,200.0,2021-03-06,2032-09-01,1.450559923755063,Adequate (1-10/month),14.505599237550632,Significantly Below (<50%),60,47.3,40.475
NCT01081535,The Effect of Intravenous (IV) Patient Controlled Analgesic (PCA) With Ketorolac or Fentanyl Combined With Caudal Block for Postoperative Analgesia in Small Children Undergoing Intravesical Ureteroneocystostomy,COMPLETED,NA,50.0,2009-05-01,2010-02-01,5.5144927536231885,Adequate (1-10/month),55.14492753623188,Below (50-75%),100,54.0,58.72500000000001
NCT05775835,Effects of Whole Body Vibration and Resistance Exercise on Carotis Intima Media and Muscle Architecture in Hypertension,COMPLETED,NA,43.0,2023-02-10,2024-03-15,3.280501253132832,Adequate (1-10/month),32.80501253132832,Significantly Below (<50%),100,53.4,57.35
NCT03012035,The Role of Treatment Expectation in Exposure Training With Spider Fearful Participants,COMPLETED,NA,70.0,2017-05-18,2018-03-12,7.150335570469799,Adequate (1-10/month),71.503355704698,Below (50-75%),100,55.6,62.905
NCT06986135,The Effect of Breathing on Cognitive Performance and Stress,COMPLETED,NA,66.0,2024-08-01,2025-05-01,7.35912087912088,Adequate (1-10/month),73.5912087912088,Below (50-75%),100,55.3,62.36000000000001
NCT02897635,Integrative Approaches For Cancer Survivorship 2: Project 1,COMPLETED,NA,20.0,2016-09-01,2018-09-21,0.8117333333333334,Slow (<1/month),8.117333333333333,Significantly Below (<50%),100,46.6,37.375
NCT02687035,PARTNER II Trial: S3iCAP,COMPLETED,NA,1822.0,2015-01-01,2018-12-01,38.78439160839161,Good (10-50/month),200.0,Exceeded (≥100%),100,95.0,95.7
NCT00575835,Oral Vitamin D Supplementation in Elderly Women,COMPLETED,NA,40.0,2006-10-01,2007-10-01,3.3358904109589043,Adequate (1-10/month),33.35890410958904,Significantly Below (<50%),100,53.2,56.665
